rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
415,3:25.11,,Czech Republic,CZE,2h1,"Olympic Stadium, Athina (GRE)",1997-08-09,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.11,GRE,1997
416,3:25.12,,Great Britain & NI,GBR,4,"Olympic Stadium, Athina (GRE)",2004-08-28,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.12,GRE,2004
416,3:25.12,,Russia,RUS,1,"Ullevi Stadium, Göteborg (SWE)",2006-08-13,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.12,SWE,2006
416,3:25.12,,Federal Republic of Germany,FRG,4,"Poljud Stadion, Split (CRO)",1990-09-01,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.12,CRO,1990
419,3:25.13,,Jamaica,JAM,1h1,"Olympic Stadium, London (GBR)",2012-08-10,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.13,GBR,2012
420,3:25.14,,Belarus,BLR,2h1,"Yanmar Stadium Nagai, Osaka (JPN)",2007-09-01,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.14,JPN,2007
420,3:25.14,,CAP Athletics,INT,3f1,"Percy Beard Track, Gainesville, FL (USA)",2024-04-13,1180.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.14,USA,2024
422,3:25.15,,United States,USA,2,"Olympiastadion, München (GER)",1972-09-10,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.15,GER,1972
422,3:25.15,,Russia,RUS,3,"SGJ, Johannesburg (RSA)",1998-09-11,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.15,RSA,1998
422,3:25.15,,France,FRA,2h2,"Stadio Olimpico, Roma (ITA)",2024-06-11,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.15,ITA,2024
422,3:25.15,,United States,USA,2h1,"Olympic Stadium, Montréal (CAN)",1976-07-30,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.15,CAN,1976
426,3:25.16,,France,FRA,5,"Poljud Stadion, Split (CRO)",1990-09-01,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.16,CRO,1990
426,3:25.16,,Great Britain & NI,GBR,3,"Olympiastadion, Berlin (GER)",2009-08-23,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.16,GER,2009
426,3:25.16,,Italy,ITA,4h2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.16,BRA,2016
426,3:25.16,,Arkansas,USA,1h1,"John McDonnell Field, Fayetteville, AR (USA)",2022-05-27,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.16,USA,2022
426,3:25.16,,Belgium,BEL,3h2,"Stadio Olimpico, Roma (ITA)",2024-06-11,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.16,ITA,2024
431,3:25.17,,Canada,CAN,3f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.17,BAH,2024
432,3:25.18,,Canada,CAN,4,"Hayward Field, Eugene, OR (USA)",2022-07-24,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.18,USA,2022
432,3:25.18,,United States,USA,1h1,"Luzhniki Stadion, Moskva (RUS)",2013-08-16,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.18,RUS,2013
434,3:25.20,,Great Britain & NI,GBR,2h2,"Estadio Olímpico, Barcelona (ESP)",1992-08-07,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.2,ESP,1992
434,3:25.20,,Canada,CAN,4,"Estadio Olímpico, Barcelona (ESP)",1992-08-08,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.2,ESP,1992
434,3:25.20,,Arkansas,INT,1f3,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",2025-03-15,1204.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.2,USA,2025
434,3:25.20,,International,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2025-03-29,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.2,USA,2025
438,3:25.22,,Cuba,CUB,2h1,"Olympic Stadium, Sydney (AUS)",2000-09-29,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.22,AUS,2000
438,3:25.22,,Poland,POL,5,"Olympic Stadium, Athina (GRE)",2004-08-28,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.22,GRE,2004
440,3:25.23,,Great Britain & NI,GBR,3h2,"Olympiastadion, Berlin (GER)",2009-08-22,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.23,GER,2009
441,3:25.25,,Spain,ESP,4h2,"Stadio Olimpico, Roma (ITA)",2024-06-11,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.25,ITA,2024
442,3:25.26,,Louisiana State,INT,1,"Austin, TX (USA)",2004-06-12,1179.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.26,USA,2004
443,3:25.28,,Great Britain & NI,GBR,1h2,"Olympic Stadium, Sydney (AUS)",2000-09-29,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.28,AUS,2000
443,3:25.28,,Italy,ITA,5h2,"Stadio Olimpico, Roma (ITA)",2024-06-11,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.28,ITA,2024
445,3:25.29,,Nigeria,NGR,2,Gold Coast (AUS),2018-04-14,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.29,AUS,2018
445,3:25.29,,Federal Republic of Germany,FRG,3,Praha (TCH),1987-06-28,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.29,TCH,1987
447,3:25.31,,Team International,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",2024-03-30,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.31,USA,2024
447,3:25.31,,Czechia,CZE,3,"Omnisport, Apeldoorn (NED) (i)",2025-03-09,1203.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.31,NED,2025
447,3:25.31,,USA Elite,USA,1f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",2023-04-15,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.31,USA,2023
450,3:25.33,,Jamaica,JAM,4h2,"Olympic Stadium, Atlanta, GA (USA)",1996-08-02,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.33,USA,1996
450,3:25.33,,Jamaica,JAM,2,"Philadelphia, PA (USA)",2001-04-28,1178.0,4x400-metres-relay,relays,female,senior,4x400-metres-relay,track,205.33,USA,2001
